Timestamp,Amps,Batt. Volts,Motor Volts,RPM,Duty,Comm. Period,Bad Detects,ADC Window,Idle Time,State,Phase A Avg.,Phase B Avg.,Phase C Avg.,Composite Avg.,FET Step
2019-11-07 18:45:58:868,0.00672632,16.5996,0,0,0,33,0,0,95.0607,0,0,0,0,0,3
2019-11-07 18:45:58:883,0.00151796,16.5985,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:58:901,0.000214178,16.5988,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:58:902,0.00327233,16.598,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:58:915,0.00798113,16.5978,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:58:916,-0.00271501,16.5968,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:58:934,-0.00147642,16.5963,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:58:949,0.00727647,16.5976,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:58:949,0.00741178,16.5961,0,0,0,33,0,0,95.5463,0,0,0,0,0,3
2019-11-07 18:45:58:969,0.00284693,16.5959,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:58:969,0.00463259,16.5964,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:58:986,0.00136316,16.5964,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:58:986,-0.00579214,16.5952,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:001,-0.00780207,16.5953,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:018,-0.0041914,16.5948,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:018,-0.00738749,16.5946,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:030,-0.0036387,16.5945,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:051,-0.000620904,16.5932,0,0,0,33,0,0,95.5859,0,0,0,0,0,3
2019-11-07 18:45:59:052,0.00418068,16.5928,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:068,-0.00128936,16.5919,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:069,0.00694714,16.5925,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:086,0.00613848,16.5917,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:088,0.00260787,16.5902,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:101,-0.00784323,16.5916,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:114,0.00399332,16.5923,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:115,0.00196374,16.593,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:136,-0.00622426,16.593,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:136,-0.00569821,16.5931,0,0,0,33,0,0,95.5911,0,0,0,0,0,3
2019-11-07 18:45:59:149,-0.00439908,16.5933,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:167,0.00385284,16.5936,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:168,0.0050228,16.5936,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:185,-0.00135007,16.5938,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:186,0.00856324,16.5942,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:202,-0.00143119,16.5938,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:217,-0.00305127,16.5935,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:218,0.00322607,16.5933,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:236,0.00592138,16.5929,0,0,0,33,0,0,95.6043,0,0,0,0,0,3
2019-11-07 18:45:59:236,-0.00122439,16.5927,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:251,0.00632118,16.5937,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:269,0.00448845,16.5933,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:270,-0.00342661,16.5935,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:285,-0.0104578,16.5921,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:285,0.00218724,16.5918,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:302,0.00252168,16.5911,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
2019-11-07 18:45:59:316,-0.00923072,16.5915,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:317,-0.00790984,16.5912,0,0,0,33,0,0,95.6122,0,0,0,0,0,3
2019-11-07 18:45:59:334,-0.00264852,16.591,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:335,-0.00193314,16.5914,0,0,0,33,0,0,95.5938,0,0,0,0,0,3
2019-11-07 18:45:59:351,0.00314077,16.5905,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:367,-0.007308,16.589,0,0,0,33,0,0,95.6096,0,0,0,0,0,3
2019-11-07 18:45:59:368,0.00481124,16.5869,0,0,0,33,0,0,95.6017,0,0,0,0,0,3
