Timestamp,Amps,Batt. Volts,Motor Volts,RPM,Duty,Comm. Period,Bad Detects,ADC Window,Idle Time,State,Phase A Avg.,Phase B Avg.,Phase C Avg.,Composite Avg.,FET Step
2019-11-05 17:14:08:947,0.00432758,15.7827,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:08:948,0.0102374,15.7832,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:08:952,0.00144314,15.7833,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:08:952,0.00129573,15.7832,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:08:953,-0.011025,15.7829,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:08:966,-0.00163338,15.7833,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:08:967,-0.00754585,15.7837,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:08:983,-0.00584611,15.7835,0,0,0,34,0,0,95.5964,0,0,0,0,0,5
2019-11-05 17:14:08:984,0.00230024,15.7843,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:000,-0.00550237,15.7843,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:015,-0.0145279,15.7846,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:016,0.00279775,15.7852,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:032,0.00329628,15.7851,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:033,-0.00435552,15.7851,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:048,-0.00583441,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:061,-0.0100334,15.7857,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:062,-0.0150478,15.7859,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:077,-0.0169197,15.7862,0,0,0,34,0,0,95.5859,0,0,0,0,0,5
2019-11-05 17:14:09:093,-0.0131448,15.7861,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:094,-0.0109322,15.7858,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:110,-0.00634166,15.7862,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:132,-0.00238983,15.7858,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:133,-0.00197002,15.7852,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:134,0.00239924,15.7855,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:149,0.00591658,15.7857,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:165,0.0115103,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:166,0.0182675,15.786,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:181,0.00992025,15.7861,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:193,0.00549855,15.7859,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:194,0.00546197,15.7861,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:215,0.00276038,15.7861,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:216,0.00357602,15.7863,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:227,0.00489018,15.786,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:248,0.00297175,15.7857,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:249,0.00613778,15.7863,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:260,0.0106735,15.7869,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:266,-0.00207531,15.7871,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:278,-0.0055481,15.7874,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:299,-0.00650587,15.7875,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:09:300,-0.00308918,15.7874,0,0,0,34,0,0,95.6492,0,0,0,0,0,5
2019-11-05 17:14:09:315,-1.81155e-05,15.7877,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:316,-0.000570055,15.7879,0,0,0,34,0,0,95.2797,0,0,0,0,0,5
2019-11-05 17:14:09:331,-0.000712656,15.7881,0,0,0,34,0,0,95.3457,0,0,0,0,0,5
2019-11-05 17:14:09:348,0.000364066,15.7883,0,0,0,34,0,0,95.4038,0,0,0,0,0,5
2019-11-05 17:14:09:350,0.000389929,15.7882,0,0,0,34,0,0,95.3484,0,0,0,0,0,5
2019-11-05 17:14:09:360,-0.00109881,15.7886,0,0,0,34,0,0,95.4803,0,0,0,0,0,5
2019-11-05 17:14:09:361,-0.000131702,15.789,0,0,0,34,0,0,95.417,0,0,0,0,0,5
2019-11-05 17:14:09:382,0.0012318,15.789,0,0,0,34,0,0,95.4592,0,0,0,0,0,5
2019-11-05 17:14:09:383,-0.00346575,15.7889,0,0,0,34,0,0,95.4777,0,0,0,0,0,5
2019-11-05 17:14:09:398,0.00064615,15.7893,0,0,0,34,0,0,95.5383,0,0,0,0,0,5
2019-11-05 17:14:09:415,-0.000323124,15.789,0,0,0,34,0,0,95.5463,0,0,0,0,0,5
2019-11-05 17:14:09:416,-0.0155645,15.7889,0,0,0,34,0,0,95.5489,0,0,0,0,0,5
2019-11-05 17:14:09:432,-0.0125955,15.7896,0,0,0,34,0,0,95.5436,0,0,0,0,0,5
2019-11-05 17:14:09:432,-0.0107615,15.7899,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:448,-0.0136272,15.7902,0,0,0,34,0,0,95.6149,0,0,0,0,0,5
2019-11-05 17:14:09:465,-0.00767086,15.7907,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:466,-0.00665699,15.7908,0,0,0,34,0,0,95.607,0,0,0,0,0,5
2019-11-05 17:14:09:479,-0.00589025,15.791,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:499,-0.00404779,15.7915,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:500,-0.00350305,15.7915,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:516,-0.00576355,15.7918,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:516,-0.00249022,15.7921,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:531,0.00183239,15.7927,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:544,-0.00269699,15.793,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:545,0.00310119,15.7935,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:560,0.00643932,15.7934,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:561,0.00567106,15.7936,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:581,0.00744319,15.7941,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:582,0.00515729,15.7941,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:593,0.0013012,15.7928,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:610,0.00696245,15.7924,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:632,0.00602756,15.7918,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:632,0.00903995,15.7911,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:633,0.0084466,15.7903,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:648,0.00394534,15.7894,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:666,0.00114034,15.7889,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:667,0.00217211,15.7875,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:682,-0.00179329,15.7869,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:683,-0.00123922,15.7862,0,0,0,34,0,0,95.5436,0,0,0,0,0,5
2019-11-05 17:14:09:700,-0.00142304,15.7852,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:716,-0.00168588,15.7842,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:717,9.61313e-05,15.7837,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:732,0.000196826,15.7835,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:734,0.00372921,15.7824,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:749,0.00383924,15.7818,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:765,0.00356951,15.7809,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:766,-0.000503057,15.7803,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:777,0.00528161,15.7811,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:799,0.00035578,15.7815,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:800,-0.00429584,15.7815,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:815,0.00127919,15.7822,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:816,0.00345623,15.7828,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:833,-0.00176779,15.7832,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:833,0.00692305,15.7843,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:849,0.00617026,15.7845,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:866,0.00472125,15.7845,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:866,0.0016992,15.7848,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:883,-0.00492918,15.7851,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:884,-0.000373824,15.7853,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:899,0.000353573,15.7859,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:09:916,0.00018123,15.7858,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:917,-3.75672e-06,15.7854,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:928,-0.000367319,15.7854,0,0,0,34,0,0,95.6017,0,0,0,0,0,5
2019-11-05 17:14:09:949,0.00108357,15.7851,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:950,0.00339592,15.7848,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:961,-0.00460711,15.7848,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:962,-0.0057209,15.7852,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:09:982,-0.00823865,15.7849,0,0,0,34,0,0,95.5938,0,0,0,0,0,5
2019-11-05 17:14:09:983,-0.00076775,15.7851,0,0,0,34,0,0,95.6043,0,0,0,0,0,5
2019-11-05 17:14:09:999,-0.000502778,15.7853,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
2019-11-05 17:14:10:015,-0.00524608,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:016,0.00243804,15.7855,0,0,0,34,0,0,95.6122,0,0,0,0,0,5
2019-11-05 17:14:10:033,0.00589251,15.785,0,0,0,34,0,0,95.6096,0,0,0,0,0,5
